Name,Domain,Featured,Problem,Tag
,,No,,Project
Affiliate Marketing Systems,Gaming,Yes,Some text about the project goes here,Project
,,No,,Project
,,No,,Project
Photoshop,,No,,Tools
,,No,,Project
,,No,,Project
SFCC Checkout Optimization,E-commerce,Yes,Customers faced high cart abandonment due to slow checkout and payment failures.,Project
,,No,,Project
Project Management,,No,,Skill
,,No,,Project
Business Analysis,,No,,Skill
"JIRA ",,No,,Tools
,,No,,Project
"CRM & Loyalty Integration ",Loyalty,Yes,Legacy loyalty platform needed to be replaced with Salesforce CRM.,Project
,,No,,Project
,,No,,Project
Figma,,No,,Tools
Documentation,,No,,Skill
Notion,,No,,Tools
Lucidchart,,No,,Tools
,,No,,Project
,,No,,Project
,,No,,Project
,,No,,Project
,,No,,Project
,,No,,Project
Salesforce Platform,,No,,Tools
Data & Analytics,,No,,Skill
System Integration,,No,,Skill